Date,Operation,Amount,Cryptocurrency,FIAT value,FIAT currency,Transaction ID,Withdrawal address,Reference
"2021-02-02T13:14:32+01:00","Staking reward","0.28394832","DFI","0.7446005190192","USD","","","6a45d7db-00e4-445b-82fe-b1f591f0dbe4"
"2021-02-02T10:12:51+01:00","Staking reward","0.27204624","DFI","0.7247747107584","USD","","","0d27c3f1-d1fe-4521-b4d8-5c88d2954ca8"
"2021-02-02T07:11:11+01:00","Staking reward","0.29080716","DFI","0.7597395216432","USD","","","26f65670-4149-4180-aafe-4b54158c9c4f"
"2021-02-02T04:09:26+01:00","Staking reward","0.02373914","DFI","0.0615814656826","USD","","","f4845ff7-d4ff-4dfa-9d68-75f4f2afc794"
"2021-02-02T03:52:47+01:00","Staking reward","0.00197816","DFI","0.0051315250744","USD","","","4f086e49-2fe2-4879-ad0b-2c6541fdda61"
"2021-02-02T03:50:16+01:00","Staking reward","0.0069238","DFI","0.017960960342","USD","","","aa79e2fb-3e4b-4550-aa24-6c26ef97adc0"
"2021-02-02T03:43:36+01:00","Staking reward","0.00791287","DFI","0.0205266969383","USD","","","a7b2b391-4b12-4b31-a7c7-c758f0ff9f5c"
"2021-02-02T03:39:34+01:00","Staking reward","0.19286545","DFI","0.5003103351905","USD","","","69bceeab-6979-4940-91b2-af7d74e333e2"
"2021-02-02T01:36:44+01:00","Staking reward","0.28877299","DFI","0.7567787117033","USD","","","f18b0abe-387a-4e7b-877d-05775261740d"
"2021-02-01T22:34:58+01:00","Staking reward","0.30654098","DFI","0.7899223859522","USD","","","d23c3555-d950-4c19-bfe7-9d11b40e70c8"
"2021-02-01T19:33:08+01:00","Staking reward","0.28277929","DFI","0.7343862995087","USD","","","ecdc37e3-9703-48a1-8d3f-d985484c2884"
"2021-02-01T16:31:18+01:00","Staking reward","0.05141335","DFI","0.130326672648","USD","","","2810591b-c756-4ce2-9758-db3c755f61c0"
"2021-02-01T15:54:51+01:00","Staking reward","0.04745804","DFI","0.1200688412","USD","","","57488052-9273-4380-82f4-efd9dbc8f72d"
"2021-02-01T15:28:07+01:00","Staking reward","0.28471318","DFI","0.7217479113","USD","","","eb75f0f3-d03a-4c90-81df-ed18798abd7e"
"2021-02-01T12:26:21+01:00","Staking reward","0.02767988","DFI","0.0699741830424","USD","","","a79331ac-d43d-4725-b40e-dad74f875c55"
"2021-02-01T12:08:39+01:00","Staking reward","0.11565854","DFI","0.292517796441","USD","","","5fae3479-5045-48ed-9bf6-3d9c11b25cac"
"2021-02-01T10:54:42+01:00","Staking reward","0.30443268","DFI","0.7732650958536","USD","","","abb5e1f2-3c00-4a45-a43c-ff168d633cb2"
"2021-02-01T07:53:04+01:00","Staking reward","0.29549999","DFI","0.7439744148232","USD","","","f4eac8aa-4413-4667-8461-75bcbd5a8127"
"2021-02-01T04:51:01+01:00","Staking reward","0.27866956","DFI","0.6868675181836","USD","","","1ee9a87e-3f44-4f1f-ae9b-1e9904d946e8"
"2021-02-01T01:49:01+01:00","Staking reward","0.28555833","DFI","0.6957571598784","USD","","","bf78585d-717d-466a-9795-d2faf414e047"
"2021-01-31T22:46:33+01:00","Staking reward","0.27960272","DFI","0.6789788571664","USD","","","0efe2537-ebc6-465f-9246-055c764175ce"
"2021-01-31T19:44:59+01:00","Staking reward","0.29537778","DFI","0.6929946709914","USD","","","f267135a-18e2-462a-96aa-a27b6a41464c"
"2021-01-31T16:43:17+01:00","Staking reward","0.27262686","DFI","0.6634674527646","USD","","","06b02c2a-e79c-4778-8a79-2e58029abb77"
"2021-01-31T13:41:44+01:00","Staking reward","0.27852323","DFI","0.6815714109007","USD","","","98f03bf0-b705-4331-9b57-ba7d9d81aedc"
"2021-01-31T10:40:14+01:00","Staking reward","0.30317598","DFI","0.7458129108","USD","","","87cfb6f3-57d8-4e54-8a48-3d4c7c68103d"
"2021-01-31T07:38:31+01:00","Staking reward","0.29820155","DFI","0.7404493587275","USD","","","2fb2d72a-d85d-412a-9376-b1273ed0a9c8"
"2021-01-31T04:36:58+01:00","Staking reward","0.28237313","DFI","0.7152059585892","USD","","","6a3c126d-14db-4836-9c59-5a2054e12f34"
"2021-01-31T01:35:24+01:00","Staking reward","0.29123047","DFI","0.742026114513","USD","","","ce42a20d-5543-449d-98ee-85037e329037"
"2021-01-30T22:33:53+01:00","Staking reward","0.2981074","DFI","0.7619625144","USD","","","48a5f735-5701-469b-a5c0-4b8539b3e6a8"
"2021-01-30T19:32:16+01:00","Staking reward","0.27734988","DFI","0.7238055288336","USD","","","aae47ba7-fd61-4db9-a1c9-03dcae118e5e"
"2021-01-30T16:30:32+01:00","Staking reward","0.10067082","DFI","0.25942870314","USD","","","d9f7a1db-edfb-4baa-9e5c-6ec4bd692edf"
"2021-01-30T15:25:11+01:00","Staking reward","0.3108582","DFI","0.798902465418","USD","","","742f9fdd-6333-4ca9-8477-5fa722237063"
"2021-01-30T12:23:39+01:00","Staking reward","0.27529594","DFI","0.7151335103786","USD","","","cf86ec60-d119-47a9-a611-1b75f0c395a6"
"2021-01-30T09:21:53+01:00","Staking reward","0.01776098","DFI","0.0460394795266","USD","","","d024bc06-c6ea-4dc0-a8fe-76dbdbdb4b78"
"2021-01-30T09:12:22+01:00","Staking reward","0.07696177","DFI","0.200862523523","USD","","","72486a63-4a22-42d0-8bea-24d47e5507e7"
